seqnames	start	end	width	strand	fold_change	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	gene_symbol
chr7	157857312	157857675	364	*	1.02444937655904	0.00274385071966616	Promoter (2-3kb)	7	157854800	157863011	8212	1	100506585	ENST00000443338.1	2512	NA	PTPRN2-AS1	PTPRN2 antisense RNA 1	PTPRN2-AS1
chr17	70727234	70727818	585	*	1.00559980458322	0.0027450845186525	Distal Intergenic	17	71097786	71131324	33539	2	101928165	ENST00000665992.1	403506	ENSG00000260785	CASC17	cancer susceptibility 17	CASC17
chr15	89743679	89747874	4196	*	0.711438792461889	0.00274653636123156	Downstream (<=300bp)	15	89749891	89751137	1247	2	55897	ENST00000559894.1	3263	ENSG00000166823	MESP1	mesoderm posterior bHLH transcription factor 1	MESP1
chr1	44365993	44370012	4020	*	0.705509979564388	0.00274711438931517	Distal Intergenic	1	44247986	44355260	107275	2	79033	ENST00000452396.5	-10733	ENSG00000117419	ERI3	ERI1 exoribonuclease family member 3	ERI3
chr19	42002538	42005850	3313	*	0.695919585728803	0.00274861432195603	Promoter (<=1kb)	19	41999243	42003764	4522	2	2901	ENST00000602210.1	0	ENSG00000105737	GRIK5	glutamate ionotropic receptor kainate type subunit 5	GRIK5
chr1	36805428	36807549	2122	*	0.809922046218271	0.00275153632703948	Exon (ENST00000373091.8/2899, exon 14 of 16)	1	36768122	36769725	1604	2	124904023	ENST00000642109.1	-35703	ENSG00000284720	LOC124904023	uncharacterized LOC124904023	LOC124904023
chr1	2013546	2017582	4037	*	0.602610785970915	0.00275474628392349	Promoter (<=1kb)	1	2013213	2015530	2318	2	105378589	ENST00000443930.1	0	NA	LOC105378589	uncharacterized LOC105378589	LOC105378589
chr19	4555011	4557083	2073	*	0.74291529504285	0.00275569615308137	Promoter (1-2kb)	19	4542914	4558457	15544	2	10501	ENST00000586965.1	1374	ENSG00000167680	SEMA6B	semaphorin 6B	SEMA6B
chr5	110944	113889	2946	*	0.663242126043089	0.00275569615308137	Exon (ENST00000637938.2/153478, exon 2 of 20)	5	92168	189966	97799	1	153478	ENST00000637938.2	18776	ENSG00000153404	PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B	PLEKHG4B
chr22	37059660	37060697	1038	*	1.00998330663645	0.00276494380001347	Promoter (2-3kb)	22	37057398	37061408	4011	1	79734	ENST00000462640.1	2262	ENSG00000100379	KCTD17	potassium channel tetramerization domain containing 17	KCTD17
chr21	33890819	33896171	5353	*	0.632767120804874	0.00276819987661251	3' UTR	21	33903456	33907412	3957	2	539	ENST00000417181.5	11241	ENSG00000241837	ATP5PO	ATP synthase peripheral stalk subunit OSCP	ATP5PO
chr17	75548898	75551529	2632	*	0.684324165687029	0.00277386867171854	Promoter (2-3kb)	17	75546148	75559345	13198	1	3993	ENST00000583658.1	2750	ENSG00000073350	LLGL2	LLGL scribble cell polarity complex component 2	LLGL2
chr17	48501234	48503996	2763	*	0.753819694580701	0.00277513921093082	Distal Intergenic	17	48528526	48531011	2486	2	3211	ENST00000239174.7	27015	ENSG00000120094	HOXB1	homeobox B1	HOXB1
chr12	52429415	52433317	3903	*	0.742393352911609	0.00277930538265534	Promoter (1-2kb)	12	52424070	52434371	10302	2	9119	ENST00000252245.6	1054	ENSG00000170454	KRT75	keratin 75	KRT75
chr7	150845740	150848937	3198	*	0.644278642554519	0.00278168165744888	Intron (ENST00000493429.5/26, intron 2 of 6)	7	150852009	150857217	5209	1	26	ENST00000460213.1	-3072	ENSG00000002726	AOC1	amine oxidase copper containing 1	AOC1
chr1	109246503	109253761	7259	*	0.646571703976453	0.00278339655017355	Promoter (<=1kb)	1	109249539	109275751	26213	1	1952	ENST00000271332.4	0	ENSG00000143126	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	CELSR2
chr10	79938523	79940749	2227	*	0.685415064309394	0.00278361617046019	Exon (ENST00000678361.1/6441, exon 3 of 4)	10	79937467	79944708	7242	2	6441	ENST00000678361.1	3959	ENSG00000133661	SFTPD	surfactant protein D	SFTPD
chr15	70210644	70215916	5273	*	0.632093511946531	0.0027840469612926	Distal Intergenic	15	70047790	70098176	50387	2	7090	ENST00000558939.5	-112468	ENSG00000140332	TLE3	TLE family member 3, transcriptional corepressor	TLE3
chr20	46147586	46149948	2363	*	0.693098141870089	0.00278489299903867	Distal Intergenic	20	46125703	46129669	3967	1	958	ENST00000695675.1	21883	ENSG00000101017	CD40	CD40 molecule	CD40
chr22	37733107	37736304	3198	*	0.728051929261986	0.00278489299903867	3' UTR	22	37746233	37774140	27908	1	11078	ENST00000403663.6	-9929	ENSG00000100106	TRIOBP	TRIO and F-actin binding protein	TRIOBP
chr8	71554242	71558648	4407	*	0.635940130682643	0.00278599619887897	Intron (ENST00000518177.2/2138, intron 2 of 3)	8	71529407	71548187	18781	2	2138	ENST00000519927.5	-6055	ENSG00000104313	EYA1	EYA transcriptional coactivator and phosphatase 1	EYA1
chr1	229045930	229048058	2129	*	0.766960112990732	0.00278599619887897	Distal Intergenic	1	229089200	229094895	5696	2	105373158	ENST00000658958.1	46837	NA	LINC02815	long intergenic non-protein coding RNA 2815	LINC02815
chr5	77629499	77633020	3522	*	0.709850783129353	0.00278637488495929	3' UTR	5	77635931	77636993	1063	2	23440	ENST00000515716.1	3973	ENSG00000171540	OTP	orthopedia homeobox	OTP
chr8	144429358	144430196	839	*	0.821522011428879	0.00278808603914913	Promoter (<=1kb)	8	144423601	144428563	4963	2	51160	ENST00000377348.6	-795	ENSG00000160948	VPS28	VPS28 subunit of ESCRT-I	VPS28
chr19	55067708	55071461	3754	*	0.73619252922674	0.00279259431626124	Promoter (<=1kb)	19	55044343	55069529	25187	2	112724	ENST00000396247.7	0	ENSG00000160439	RDH13	retinol dehydrogenase 13	RDH13
chr17	20589354	20590705	1352	*	0.85768072915903	0.00279330857552187	Exon (ENST00000418141.2/ENST00000418141.2, exon 1 of 1)	17	20579724	20580911	1188	1	256223	ENST00000661883.1	9630	ENSG00000214819	CDRT15L2	CMT1A duplicated region transcript 15 like 2	CDRT15L2
chr12	131286228	131289207	2980	*	0.967493516106192	0.00279376495453303	Distal Intergenic	12	131295522	131298218	2697	1	100128002	ENST00000623821.1	-6315	NA	LOC100128002	uncharacterized LOC100128002	LOC100128002
chr22	37408187	37411227	3041	*	0.7683156832062	0.00279589855630702	Intron (ENST00000452946.1/114794, intron 1 of 2)	22	37375705	37418953	43249	2	114794	ENST00000414347.5	7726	ENSG00000166897	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	ELFN2
chr17	41769107	41773304	4198	*	1.0788376211727	0.00280130499766826	Promoter (<=1kb)	17	41767458	41772269	4812	2	3728	ENST00000420370.5	0	ENSG00000173801	JUP	junction plakoglobin	JUP
chr7	25539335	25547755	8421	*	0.616205565898365	0.00280149595011133	Distal Intergenic	7	25593338	25620441	27104	2	646588	ENST00000659793.1	72686	ENSG00000223561	LINC03007	long intergenic non-protein coding RNA 3007	LINC03007
chr1	29709068	29714681	5614	*	0.620626795938722	0.00280180978726996	Exon (ENST00000422638.1/ENST00000422638.1, exon 1 of 2)	1	30013952	30037612	23661	2	101929406	ENST00000445180.2	322931	ENSG00000233399	LINC01648	long intergenic non-protein coding RNA 1648	LINC01648
chr9	129036038	129038442	2405	*	0.691837201699044	0.00280258421267492	Promoter (<=1kb)	9	129036621	129042400	5780	1	84895	ENST00000477088.5	0	ENSG00000148343	MIGA2	mitoguardin 2	MIGA2
chr22	24858896	24859859	964	*	0.9825067050164	0.00280258421267492	Exon (ENST00000610372.4/129049, exon 9 of 25)	22	24844741	24924593	79853	1	129049	ENST00000480523.1	14155	ENSG00000167037	SGSM1	small G protein signaling modulator 1	SGSM1
chr17	73980803	73982695	1893	*	0.755502002900733	0.00280279015796714	Distal Intergenic	17	73926421	73949906	23486	2	105371888	ENST00000647802.1	-30897	NA	LOC105371888	uncharacterized LOC105371888	LOC105371888
chr17	40295867	40297665	1799	*	0.74684687179803	0.00280279015796714	Exon (ENST00000209728.9/990, exon 9 of 12)	17	40300890	40301931	1042	1	990	ENST00000648633.1	-3225	ENSG00000094804	CDC6	cell division cycle 6	CDC6
chr22	50549697	50553039	3343	*	0.71494913510328	0.00280292185042525	Promoter (1-2kb)	22	50548033	50551022	2990	1	113730	ENST00000395676.4	1664	ENSG00000130487	KLHDC7B	kelch domain containing 7B	KLHDC7B
chr19	41880949	41884278	3330	*	0.688379387711344	0.00280658650886246	Promoter (<=1kb)	19	41883173	41890776	7604	1	9138	ENST00000600387.5	0	ENSG00000076928	ARHGEF1	Rho guanine nucleotide exchange factor 1	ARHGEF1
chr14	85528710	85533353	4644	*	0.634973951881292	0.00280831931840316	Promoter (<=1kb)	14	85517967	85530078	12112	2	100506731	ENST00000669085.2	0	ENSG00000205562	FLRT2-AS1	FLRT2 antisense RNA 1	FLRT2-AS1
chr8	10482592	10484232	1641	*	0.901419460836508	0.00280881971040111	3' UTR	8	10479536	10480992	1457	1	101929191	ENST00000668412.1	3056	ENSG00000253641	LINC03022	long intergenic non-protein coding RNA 3022	LINC03022
chr6	853657	856230	2574	*	0.781814975903339	0.00280998064600519	Distal Intergenic	6	729128	760936	31809	2	105374873	ENST00000655063.1	-92721	NA	LOC105374873	uncharacterized LOC105374873	LOC105374873
chr19	2653485	2655065	1581	*	0.745693072308703	0.00281056801373132	Intron (ENST00000382159.8/2788, intron 1 of 4)	19	2630715	2630793	79	1	102465838	ENST00000618087.1	22770	ENSG00000277904	MIR7850	microRNA 7850	MIR7850
chr20	48515717	48517360	1644	*	0.83698973242285	0.00281169859871283	Distal Intergenic	20	48471308	48472414	1107	1	105372645	ENST00000630976.1	44409	NA	LOC105372645	uncharacterized LOC105372645	LOC105372645
chr20	62727288	62730188	2901	*	0.609836418473648	0.00281269446713691	Intron (ENST00000370501.4/4923, intron 1 of 3)	20	62708836	62762771	53936	1	4923	ENST00000370501.4	18452	ENSG00000101188	NTSR1	neurotensin receptor 1	NTSR1
chr1	54017511	54018251	741	*	0.810033897014914	0.00281269446713691	Promoter (<=1kb)	1	54007298	54018186	10889	2	388633	ENST00000371360.2	0	ENSG00000203985	LDLRAD1	low density lipoprotein receptor class A domain containing 1	LDLRAD1
chr17	81926054	81926715	662	*	0.788536952631615	0.00281286994856868	Promoter (<=1kb)	17	81922798	81927708	4911	2	4097	ENST00000574686.1	993	ENSG00000197063	MAFG	MAF bZIP transcription factor G	MAFG
chr11	66368504	66370547	2044	*	0.68618738625319	0.00281387837175262	Promoter (1-2kb)	11	66362523	66371647	9125	2	3177	ENST00000541567.5	1100	ENSG00000174669	SLC29A2	solute carrier family 29 member 2	SLC29A2
chr3	72288074	72292172	4099	*	0.639242559445156	0.00281535236725374	Distal Intergenic	3	72035762	72279503	243742	2	285286	ENST00000626474.3	-8571	ENSG00000241163	LINC00877	long intergenic non-protein coding RNA 877	LINC00877
chr17	30209471	30213060	3590	*	0.636037691596012	0.00281535236725374	Promoter (<=1kb)	17	30197921	30211369	13449	2	6532	ENST00000579221.5	0	ENSG00000108576	SLC6A4	solute carrier family 6 member 4	SLC6A4
chr18	37306091	37308542	2452	*	0.872026717679801	0.00281802678323786	Exon (ENST00000623010.1/ENST00000623010.1, exon 1 of 1)	18	37274460	37276400	1941	1	105372068	ENST00000586610.1	31631	ENSG00000267202	LOC105372068	uncharacterized LOC105372068	LOC105372068
chr16	87847028	87850370	3343	*	0.682746237657287	0.00281954596527928	Intron (ENST00000565644.5/8140, intron 2 of 9)	16	87832732	87836805	4074	2	8140	ENST00000563489.1	-10223	ENSG00000103257	SLC7A5	solute carrier family 7 member 5	SLC7A5
chr17	21475026	21482375	7350	*	0.561489773440234	0.00281963362495019	Intron (ENST00000667136.1/339263, intron 2 of 6)	17	21457434	21458989	1556	1	124903951	ENST00000582990.1	17592	NA	LOC124903951	uncharacterized LOC124903951	LOC124903951
chr7	1623947	1626071	2125	*	0.683984103380869	0.00282202649219383	Distal Intergenic	7	1614590	1615325	736	1	260341	ENST00000412727.1	9357	NA	TFAMP1	transcription factor A, mitochondrial pseudogene 1	TFAMP1
chr7	75024303	75025485	1183	*	0.788101189253478	0.00282241918198872	3' UTR	7	75007888	75021943	14056	1	729438	ENST00000622472.1	16415	ENSG00000274070	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	CASTOR2
chr1	18566462	18567478	1017	*	0.820430851007739	0.00282241918198872	Distal Intergenic	1	18630846	18748866	118021	1	5081	ENST00000420770.7	-63368	ENSG00000009709	PAX7	paired box 7	PAX7
chr5	1552960	1557650	4691	*	0.729262132105687	0.00282434791244725	Promoter (1-2kb)	5	1544107	1551710	7604	2	124901161	ENST00000503113.1	-1250	NA	LOC124901161	uncharacterized LOC124901161	LOC124901161
chr12	121535811	121539898	4088	*	0.626909840419226	0.00282750424897129	Promoter (<=1kb)	12	121510007	121536069	26063	2	84678	ENST00000538379.5	0	ENSG00000089094	KDM2B	lysine demethylase 2B	KDM2B
chr12	115867373	115869436	2064	*	0.89686472121556	0.00282750424897129	Intron (ENST00000546414.1/105370004, intron 1 of 2)	12	115852648	115852718	71	2	124900323	ENST00000363242.1	-14655	ENSG00000200112	LOC124900323	small nucleolar RNA SNORD56	LOC124900323
chr1	154352242	154358895	6654	*	0.65530211293538	0.00283017929895108	Distal Intergenic	1	154346615	154349459	2845	1	57198	ENST00000505882.1	5627	ENSG00000143515	ATP8B2	ATPase phospholipid transporting 8B2	ATP8B2
chr12	1795914	1798117	2204	*	0.865033927002595	0.0028301953830069	Promoter (<=1kb)	12	1793523	1797660	4138	2	93589	ENST00000541444.5	0	ENSG00000151062	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	CACNA2D4
chr16	159337	161232	1896	*	0.774395505580961	0.00283199258842985	Intron (ENST00000472539.5/3042, intron 1 of 2)	16	164482	166761	2280	1	3042	ENST00000496585.1	-3250	ENSG00000206177	HBM	hemoglobin subunit mu	HBM
chr2	241008587	241011876	3290	*	0.753797388563531	0.00283201814222887	Promoter (<=1kb)	2	241010045	241010744	700	2	107985787	ENST00000425183.1	0	NA	LOC107985787	uncharacterized LOC107985787	LOC107985787
chr7	2254296	2256112	1817	*	0.812072707601218	0.00283209821357881	Promoter (1-2kb)	7	2257515	2257577	63	2	102465503	ENST00000617724.1	1465	ENSG00000284047	MIR6836	microRNA 6836	MIR6836
chr20	60066007	60071039	5033	*	0.620671807697325	0.00283209821357881	Exon (ENST00000660831.1/284756, exon 2 of 3)	20	60055925	60072953	17029	1	284756	ENST00000625080.1	10082	ENSG00000176659	LINC02910	long intergenic non-protein coding RNA 2910	LINC02910
chr22	39641767	39643913	2147	*	0.75364107225682	0.0028334703873136	Promoter (<=1kb)	22	39642797	39643512	716	1	8911	ENST00000471970.1	0	ENSG00000100346	CACNA1I	calcium voltage-gated channel subunit alpha1 I	CACNA1I
chr7	4877314	4883119	5806	*	0.673507968900044	0.00283393592728711	Promoter (<=1kb)	7	4877738	4882209	4472	2	55698	ENST00000457174.1	0	ENSG00000157927	RADIL	Rap associating with DIL domain	RADIL
chr16	58049384	58049875	492	*	0.877675940479509	0.00283476806117057	Distal Intergenic	16	58040165	58040867	703	1	4324	ENST00000570065.1	9219	ENSG00000102996	MMP15	matrix metallopeptidase 15	MMP15
chr10	30357349	30360091	2743	*	0.713869496969489	0.00283526250273243	Exon (ENST00000512082.1/ENST00000512082.1, exon 3 of 3)	10	30309801	30349278	39478	2	55149	ENST00000263063.9	-8071	ENSG00000107951	MTPAP	mitochondrial poly(A) polymerase	MTPAP
chr9	134929476	134930286	811	*	0.821252372845301	0.00283526250273243	Distal Intergenic	9	134936524	134943207	6684	1	105376314	ENST00000664778.1	-6238	ENSG00000236403	LOC105376314	uncharacterized LOC105376314	LOC105376314
chr14	77497766	77500263	2498	*	0.876810833281476	0.00283614935476738	Promoter (<=1kb)	14	77474394	77498816	24423	2	145501	ENST00000216481.10	0	ENSG00000100593	ISM2	isthmin 2	ISM2
chr17	34153325	34160132	6808	*	0.61578203423309	0.00283681199462202	Promoter (<=1kb)	17	34155566	34165736	10171	1	105371735	ENST00000583224.3	0	NA	LOC105371735	uncharacterized LOC105371735	LOC105371735
chrX	68828629	68829199	571	*	0.906033842772037	0.00284135548664641	Promoter (<=1kb)	23	68829021	68842160	13140	1	1947	ENST00000204961.5	0	ENSG00000090776	EFNB1	ephrin B1	EFNB1
chr17	49984133	49998352	14220	*	0.639515630601078	0.00284205430386805	Promoter (<=1kb)	17	49990005	49995224	5220	2	1747	ENST00000434704.2	0	ENSG00000064195	DLX3	distal-less homeobox 3	DLX3
chr10	101297823	101299185	1363	*	0.663622166581219	0.00284293382945369	Distal Intergenic	10	101283923	101286729	2807	1	105378453	ENST00000688609.1	13900	ENSG00000289441	LOC105378453	uncharacterized LOC105378453	LOC105378453
chr2	47239057	47239763	707	*	1.01441401817978	0.00284734800938597	Exon (ENST00000654272.1/124907763, exon 2 of 2)	2	47226919	47240005	13087	1	124907763	ENST00000702035.1	12138	ENSG00000226087	LOC124907763	uncharacterized LOC124907763	LOC124907763
chr11	64899310	64901798	2489	*	0.6630230403941	0.00284734800938597	Promoter (<=1kb)	11	64902387	64902455	69	2	102466727	ENST00000617008.1	657	ENSG00000274314	MIR6749	microRNA 6749	MIR6749
chr22	25362091	25364612	2522	*	0.726701990774352	0.00284908249017955	Promoter (<=1kb)	22	25351418	25362557	11140	2	91355	ENST00000467672.5	0	ENSG00000290796	LRP5L	LDL receptor related protein 5 like (pseudogene)	LRP5L
chr20	56675933	56679377	3445	*	0.706779722508205	0.00284996960656	Distal Intergenic	20	56630234	56631547	1314	1	7022	ENST00000416606.1	45699	ENSG00000087510	TFAP2C	transcription factor AP-2 gamma	TFAP2C
chr1	228937805	228941216	3412	*	0.661442816013784	0.00285002469255938	Distal Intergenic	1	229089200	229094895	5696	2	105373158	ENST00000658958.1	153679	NA	LINC02815	long intergenic non-protein coding RNA 2815	LINC02815
chr17	17830864	17832106	1243	*	0.809542055294478	0.00285010823850692	Intron (ENST00000261646.11/6720, intron 1 of 18)	17	17811334	17836986	25653	2	6720	ENST00000261646.11	4880	ENSG00000072310	SREBF1	sterol regulatory element binding transcription factor 1	SREBF1
chr7	71710487	71713603	3117	*	0.691761286518508	0.00285011305325919	3' UTR	7	71307672	71307770	99	2	100500836	ENST00000584357.2	-402717	ENSG00000265878	MIR3914-1	microRNA 3914-1	MIR3914-1
chr16	66353045	66354191	1147	*	0.864870324312437	0.00285158141088645	Distal Intergenic	16	66366690	66403408	36719	1	1003	ENST00000565334.5	-12499	ENSG00000179776	CDH5	cadherin 5	CDH5
chr2	28997346	28999641	2296	*	0.681093748447525	0.00285255942337297	Exon (ENST00000420297.5/165186, exon 3 of 4)	2	29014467	29052230	37764	1	165186	ENST00000465300.5	-14826	ENSG00000189350	TOGARAM2	TOG array regulator of axonemal microtubules 2	TOGARAM2
chr7	150867246	150870199	2954	*	0.636107405671953	0.00285301379776297	Exon (ENST00000685404.1/105375567, exon 2 of 2)	7	150868626	150877138	8513	2	105375567	ENST00000685404.1	6939	NA	LOC105375567	uncharacterized LOC105375567	LOC105375567
chr3	126480470	126482208	1739	*	0.817757482949235	0.00285569316007449	3' UTR	3	126437601	126475891	38291	2	79364	ENST00000389709.8	-4579	ENSG00000070476	ZXDC	ZXD family zinc finger C	ZXDC
chr10	112819841	112822253	2413	*	0.782144756656062	0.00285990319927212	Promoter (1-2kb)	10	112823490	112827726	4237	1	103344931	ENST00000564352.1	-1237	ENSG00000260917	LOC103344931	uncharacterized LOC103344931	LOC103344931
chr3	184559194	184570744	11551	*	0.632609138262539	0.00286166783319129	Promoter (<=1kb)	3	184561785	184582408	20624	1	2049	ENST00000330394.3	0	ENSG00000182580	EPHB3	EPH receptor B3	EPHB3
chr1	227919738	227921458	1721	*	0.754237724157923	0.00286186643648154	3' UTR	1	227941590	227941683	94	2	100847072	ENST00000584300.1	20225	ENSG00000264483	MIR5008	microRNA 5008	MIR5008
chr2	127420524	127422305	1782	*	0.770417156310391	0.00286186643648154	Promoter (<=1kb)	2	127419882	127428983	9102	1	5624	ENST00000409048.1	642	ENSG00000115718	PROC	protein C, inactivator of coagulation factors Va and VIIIa	PROC
chr9	136434556	136437832	3277	*	0.740703560478675	0.00286186643648154	Promoter (<=1kb)	9	136434037	136434863	827	2	56623	ENST00000675256.1	0	ENSG00000148384	INPP5E	inositol polyphosphate-5-phosphatase E	INPP5E
chr11	71603739	71608857	5119	*	0.633491024804767	0.00286363404928936	Exon (ENST00000525262.2/ENST00000525262.2, exon 2 of 3)	11	71581855	71582875	1021	2	440051	ENST00000398530.1	-20864	ENSG00000204571	KRTAP5-11	keratin associated protein 5-11	KRTAP5-11
chr17	41775362	41777887	2526	*	0.681462122949586	0.00286454239421438	Intron (ENST00000393930.5/3728, intron 1 of 14)	17	41767458	41772269	4812	2	3728	ENST00000420370.5	-3093	ENSG00000173801	JUP	junction plakoglobin	JUP
chr11	67006525	67010584	4060	*	0.689167536529466	0.00286535706537614	Promoter (<=1kb)	11	67006778	67050863	44086	1	91683	ENST00000393946.6	0	ENSG00000173227	SYT12	synaptotagmin 12	SYT12
chr1	205797078	205800948	3871	*	0.71877663405268	0.00286612525813513	Promoter (<=1kb)	1	205790920	205796616	5697	2	254428	ENST00000484228.1	-462	ENSG00000133065	SLC41A1	solute carrier family 41 member 1	SLC41A1
chr1	22707220	22713814	6595	*	0.656321907216715	0.00286775126093149	Promoter (<=1kb)	1	22710839	22891265	180427	1	2048	ENST00000544305.5	0	ENSG00000133216	EPHB2	EPH receptor B2	EPHB2
chr19	54133445	54133804	360	*	1.11442590649269	0.00287166556558283	Distal Intergenic	19	54137749	54145698	7950	1	4849	ENST00000644245.1	-3945	ENSG00000088038	CNOT3	CCR4-NOT transcription complex subunit 3	CNOT3
chr15	77803157	77804787	1631	*	0.708520022601168	0.00287408728680077	Intron (ENST00000566711.5/84894, intron 1 of 3)	15	77615673	77819452	203780	2	84894	ENST00000566711.5	14665	ENSG00000169783	LINGO1	leucine rich repeat and Ig domain containing 1	LINGO1
chr8	139265004	139269511	4508	*	0.612673624551359	0.00287419960401722	Distal Intergenic	8	139601078	139602064	987	2	51305	ENST00000523653.1	332553	ENSG00000169427	KCNK9	potassium two pore domain channel subfamily K member 9	KCNK9
chr12	52080634	52083509	2876	*	0.702572853441882	0.00287419960401722	Promoter (<=1kb)	12	52079704	52108255	28552	1	113523638	ENST00000546390.2	930	ENSG00000284791	SMIM41	small integral membrane protein 41	SMIM41
chr20	57828830	57833477	4648	*	0.615350655497779	0.00287475347072325	Distal Intergenic	20	57659550	57711536	51987	2	56937	ENST00000472841.1	-117294	ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1	PMEPA1
chr2	219286800	219290880	4081	*	0.661471627751937	0.00287478175680496	Promoter (1-2kb)	2	219285263	219286200	938	1	3300	ENST00000470530.1	1537	ENSG00000135924	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	DNAJB2
chr19	54426475	54426961	487	*	0.864930867417057	0.00287541700810921	Promoter (<=1kb)	19	54426474	54436719	10246	1	57348	ENST00000489425.5	1	ENSG00000167614	TTYH1	tweety family member 1	TTYH1
chr17	2820772	2823472	2701	*	0.718176621904856	0.00287601494608157	Intron (ENST00000637138.1/23108, intron 3 of 25)	17	2796438	3037741	241304	1	23108	ENST00000254695.13	24334	ENSG00000132359	RAP1GAP2	RAP1 GTPase activating protein 2	RAP1GAP2
chr8	27458292	27462906	4615	*	0.715327508942588	0.00287701057221862	3' UTR	8	27454031	27458474	4444	1	2185	ENST00000522245.1	4261	ENSG00000120899	PTK2B	protein tyrosine kinase 2 beta	PTK2B
chr5	150621872	150628313	6442	*	0.640998697656751	0.00287879427172477	Promoter (<=1kb)	5	150621007	150626779	5773	2	124901107	ENST00000665257.1	0	ENSG00000286657	LOC124901107	uncharacterized LOC124901107	LOC124901107
chr10	45422152	45426421	4270	*	0.663710139632238	0.00288214386555636	Promoter (<=1kb)	10	45424084	45428486	4403	1	240	ENST00000483623.2	0	ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase	ALOX5
chr4	121950255	121954162	3908	*	0.704640638918532	0.00288286159603468	Promoter (<=1kb)	4	121950963	121990023	39061	1	102724158	ENST00000689735.2	0	NA	LOC102724158	uncharacterized LOC102724158	LOC102724158
chr4	1522670	1525025	2356	*	0.66766264564997	0.00288337744898913	Distal Intergenic	4	1574055	1580527	6473	2	152877	ENST00000466692.3	55502	ENSG00000174137	FAM53A	family with sequence similarity 53 member A	FAM53A
chr1	21506607	21509150	2544	*	0.664251546139963	0.00288438965722766	Promoter (<=1kb)	1	21509397	21564211	54815	1	249	ENST00000468526.1	-247	ENSG00000162551	ALPL	alkaline phosphatase, biomineralization associated	ALPL
chr11	1068467	1074659	6193	*	0.630092052892205	0.00288858170670779	Promoter (<=1kb)	11	1074875	1094425	19551	1	4583	ENST00000675028.1	-216	ENSG00000198788	MUC2	mucin 2, oligomeric mucus/gel-forming	MUC2
chr9	92796467	92799281	2815	*	0.691053439893587	0.00288873888036246	Distal Intergenic	9	92809388	92888693	79306	1	138649	ENST00000473204.5	-10107	ENSG00000291168	ANKRD19P	ankyrin repeat domain 19, pseudogene	ANKRD19P
chrX	153180069	153182546	2478	*	0.723075318388962	0.00289057072748258	Promoter (<=1kb)	23	153179284	153183880	4597	1	4100	ENST00000356661.7	785	ENSG00000198681	MAGEA1	MAGE family member A1	MAGEA1
chr2	2761395	2763692	2298	*	0.774334784685831	0.00289118282554824	Intron (ENST00000652954.1/105373390, intron 2 of 3)	2	2654745	2696442	41698	2	107985839	ENST00000701266.1	-64953	NA	LOC107985839	uncharacterized LOC107985839	LOC107985839
chr20	32084035	32086849	2815	*	0.703495623714085	0.00289199636780098	3' UTR	20	32109714	32167256	57543	1	9777	ENST00000398022.7	-22865	ENSG00000101337	TM9SF4	transmembrane 9 superfamily member 4	TM9SF4
chr10	131883694	131885772	2079	*	0.904236427231458	0.00289204794871437	Distal Intergenic	10	131901008	131959834	58827	1	55844	ENST00000455566.6	-15236	ENSG00000175470	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	PPP2R2D
chr7	5302197	5304135	1939	*	0.759033050479414	0.00289330266336541	Promoter (2-3kb)	7	5299329	5303680	4352	1	222962	ENST00000439491.2	2868	ENSG00000164638	SLC29A4	solute carrier family 29 member 4	SLC29A4
chr7	128352441	128353888	1448	*	0.722132517395854	0.00289330266336541	Exon (ENST00000489835.6/401399, exon 5 of 6)	7	128350354	128359635	9282	2	401399	ENST00000480290.5	5747	ENSG00000224940	PRRT4	proline rich transmembrane protein 4	PRRT4
chr7	74223299	74224065	767	*	0.828110893884899	0.00289720200920925	Promoter (2-3kb)	7	74220458	74229072	8615	1	7462	ENST00000490586.1	2841	ENSG00000086730	LAT2	linker for activation of T cells family member 2	LAT2
chr19	18620496	18622997	2502	*	0.754428817431224	0.00289737599499452	3' UTR	19	18615976	18618454	2479	1	25789	ENST00000594709.1	4520	ENSG00000105696	TMEM59L	transmembrane protein 59 like	TMEM59L
chr8	143100117	143104206	4090	*	0.679676104046795	0.00289737599499452	Distal Intergenic	8	143080630	143083486	2857	1	101928108	ENST00000562505.2	19487	ENSG00000261667	LY6L	lymphocyte antigen 6 family member L	LY6L
chr1	29920976	29923021	2046	*	0.780120244323258	0.0028979432070833	Distal Intergenic	1	30013952	30037612	23661	2	101929406	ENST00000445180.2	114591	ENSG00000233399	LINC01648	long intergenic non-protein coding RNA 1648	LINC01648
